"All"	"_"	"_"	"_"	"of"	"my"	"sins"	"0.157"	"0"	"0"	"1.107"	"0"	"0"	"0"	"0"	"0"	"4.763"	"0.148"	"10.233"	"0.000"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"1"	"2"	"2"	"4"	"-0.773"\t"TITLE"\t"O"
"of"	"_"	"_"	"All"	"my"	"sins"	"are"	"0"	"0.157"	"0"	"0"	"1.107"	"0"	"0"	"0"	"0"	"10.233"	"4.763"	"1.354"	"0"	"0.000"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"2"	"4"	"3"	"-0.773"\t"TITLE"\t"O"
"my"	"_"	"All"	"of"	"sins"	"are"	"taken"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.354"	"10.233"	"0.077"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"2"	"4"	"3"	"5"	"-0.773"\t"TITLE"\t"O"
"sins"	"All"	"of"	"my"	"are"	"taken"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.077"	"1.354"	"1.375"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"3"	"2"	"2"	"3"	"5"	"4"	"-0.773"\t"TITLE"\t"O"
"are"	"of"	"my"	"sins"	"taken"	"away"	";"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.375"	"0.077"	"0.077"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"2"	"4"	"5"	"4"	"1"	"-0.773"\t"TITLE"\t"O"
"taken"	"my"	"sins"	"are"	"away"	";"	"Ai"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.077"	"1.375"	"0.215"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"5"	"2"	"4"	"3"	"4"	"1"	"10"	"-0.773"\t"TITLE"\t"O"
"away"	"sins"	"are"	"taken"	";"	"Ai"	"Suzette"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.215"	"0.077"	"3.346"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"4"	"3"	"5"	"1"	"10"	"15"	"-0.773"\t"TITLE"\t"O"
";"	"are"	"taken"	"away"	"Ai"	"Suzette"	"/"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.346"	"0.215"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"5"	"4"	"10"	"15"	"1"	"-0.773"\t"TITLE"\t"O"
"Ai"	"taken"	"away"	";"	"Suzette"	"/"	"Edna"	"2.024"	"0"	"0"	"3.312"	"0"	"0"	"0"	"0"	"0"	"1.471"	"3.346"	"0"	"0.000"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"5"	"4"	"1"	"15"	"1"	"12"	"-0.773"\t"TITLE"\t"B-PER"
"Suzette"	"away"	";"	"Ai"	"/"	"Edna"	"Thomas"	"2.209"	"2.024"	"0"	"0"	"3.312"	"0"	"0"	"0"	"0"	"0.077"	"1.471"	"2.690"	"0.000"	"0.000"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"7"	"4"	"1"	"2"	"1"	"12"	"14"	"-0.773"\t"TITLE"\t"I-PER"
"/"	";"	"Ai"	"Suzette"	"Edna"	"Thomas"	","	"0"	"2.209"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.690"	"0.077"	"0"	"0"	"0.000"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"7"	"12"	"14"	"9"	"-0.773"\t"TITLE"\t"O"
"Edna"	"Ai"	"Suzette"	"/"	"Thomas"	","	"S"	"4.139"	"0"	"0"	"0.516"	"0"	"0"	"0"	"0"	"0"	"0.923"	"2.690"	"0"	"0.000"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"4"	"2"	"7"	"1"	"14"	"9"	"1"	"-0.773"\t"TITLE"\t"B-PER"
"Thomas"	"Suzette"	"/"	"Edna"	","	"S"	";"	"8.091"	"4.139"	"0"	"7.181"	"0.516"	"0"	"0"	"0"	"0"	"4.723"	"0.923"	"0"	"0.000"	"0.000"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"6"	"7"	"1"	"4"	"9"	"1"	"1"	"-0.773"\t"TITLE"\t"I-PER"
","	"/"	"Edna"	"Thomas"	"S"	";"	"with"	"0"	"8.091"	"0"	"0"	"7.181"	"0"	"0"	"0"	"0"	"2.112"	"4.723"	"3.214"	"0"	"0.000"	"0.000"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"4"	"6"	"1"	"1"	"4"	"-0.773"\t"TITLE"\t"I-PER"
"S"	"Edna"	"Thomas"	","	";"	"with"	"orchestra"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.214"	"2.112"	"3.346"	"0.000"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"4"	"6"	"1"	"1"	"4"	"9"	"-0.773"\t"TITLE"\t"O"
";"	"Thomas"	","	"S"	"with"	"orchestra"	"_"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.346"	"3.214"	"4.973"	"0"	"0.000"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"6"	"1"	"1"	"4"	"9"	"1"	"-0.773"\t"TITLE"\t"O"
"with"	","	"S"	";"	"orchestra"	"_"	"_"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4.973"	"3.346"	"3.992"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"4"	"1"	"1"	"1"	"9"	"1"	"1"	"-0.773"\t"TITLE"\t"O"
"orchestra"	"S"	";"	"with"	"_"	"_"	"_"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.992"	"4.973"	"0.148"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"9"	"1"	"1"	"4"	"1"	"1"	"1"	"-0.773"\t"TITLE"\t"O"
"Thomas"	"_"	"_"	"_"	","	""	"Edna"	"8.091"	"0"	"0"	"7.181"	"0"	"0"	"0"	"0"	"0"	"4.723"	"0.148"	"0"	"0.000"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"6"	"1"	"1"	"1"	"9"	"8"	"12"	"-0.405"\t"CREATOR"\t"B-PER"
","	"_"	"_"	"Thomas"	""	"Edna"	"("	"0"	"8.091"	"0"	"0"	"7.181"	"0"	"0"	"0"	"0"	"2.112"	"4.723"	"0"	"0"	"0.000"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"6"	"8"	"12"	"1"	"-0.405"\t"CREATOR"\t"I-PER"
"("	","	""	"Edna"	"1885-1974"	")"	"."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"8"	"12"	"9"	"1"	"1"	"-0.405"\t"CREATOR"\t"O"
"1885-1974"	""	"Edna"	"("	")"	"."	"Soprano"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"9"	"8"	"12"	"1"	"1"	"1"	"7"	"-0.405"\t"CREATOR"\t"O"
")"	"Edna"	"("	"1885-1974"	"."	"Soprano"	"_"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.366"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"12"	"1"	"9"	"1"	"7"	"1"	"-0.405"\t"CREATOR"\t"O"
"."	"("	"1885-1974"	")"	"Soprano"	"_"	"_"	"0"	"0"	"0.0658669928223053"	"0"	"0"	"1.246"	"0"	"0"	"0"	"2.366"	"0"	"0.215"	"0"	"0"	"0.000"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"9"	"1"	"7"	"1"	"1"	"-0.405"\t"CREATOR"\t"O"
"Soprano"	"1885-1974"	")"	"."	"_"	"_"	"_"	"0.066"	"0"	"0.066"	"1.246"	"0"	"0"	"0"	"0"	"0"	"0.215"	"2.366"	"0.148"	"0.000"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"7"	"9"	"1"	"1"	"1"	"1"	"1"	"-0.405"\t"CREATOR"\t"O"
"chanson"	"_"	"_"	"_"	"anglophone"	"_"	"_"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.783"	"0.148"	"1.414"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"7"	"1"	"1"	"1"	"10"	"1"	"1"	"0"\t"SUBJECT"\t"O"
"anglophone"	"_"	"_"	"chanson"	"_"	"_"	"_"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.414"	"1.783"	"0.148"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"10"	"1"	"1"	"7"	"1"	"1"	"1"	"0"\t"SUBJECT"\t"O"
