"Home","_ _ _ Districts [ By","0.813","0","0","2.677","0","0","0","0","0","5.197","0","2.478","0.000","0","0.000","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0","1","1","0","4","1","1","1","9","1","2","0.143","TITLE","O"
"Districts","_ _ Home [ By Delia","0","0.813","0","0","2.677","0","0","0","0","2.478","5.197","0","0.000","0.000","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","0","1","0","1","0","1","0","0","0","9","1","1","4","1","2","13","0.143","TITLE","O"
"[","_ Home Districts By Delia Moylan","0","0","0.256","0","0","1.992","0","0","0","0","2.478","1.399","0","0.000","0.000","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","1","1","1","1","0","0","0","0","0","0","1","1","4","9","2","13","14","0.143","TITLE","O"
"By","Home Districts [ Delia Moylan COMMA","0.256","0","0","1.992","0","0","0","0","0","1.399","0","0","0.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0","1","0","0","0","0","2","4","9","1","13","14","5","0.143","TITLE","O"
"Delia","Districts [ By Moylan COMMA collected","3.185","0.256","0","1.527","1.992","0","0","0","0","0.121","1.399","0","0.800","0.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","1","0","0","5","9","1","2","14","5","9","0.143","TITLE","I-PER"
"Moylan","[ By Delia COMMA collected from","0.300","3.185","0","2.044","1.527","0","0","0","0","0.082","0.121","0.229","0.000","0.800","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","1","0","0","0","6","1","2","5","5","9","4","0.143","TITLE","I-PER"
"COMMA","By Delia Moylan collected from Mary","0","0.300","0","0","2.044","0","0","0","0","0.229","0.082","0.042","0","0.000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","5","2","5","6","9","4","12","0.143","TITLE","O"
"collected","Delia Moylan COMMA from Mary Reynolds","0","0","0","0","0","0","0","0","0","0.042","0.229","4.962","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","9","5","6","5","4","12","16","0.143","TITLE","O"
"from","Moylan COMMA collected Mary Reynolds COMMA","0","0","0","0","0","0","0","0","0","4.962","0.042","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","4","6","5","9","12","16","5","0.143","TITLE","O"
"Mary","COMMA collected from Reynolds COMMA Meelick","7.095","0","0","3.300","0","0","0","0","0","3.865","4.962","0","0.800","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","4","5","9","4","16","5","7","0.143","TITLE","I-PER"
"Reynolds","collected from Mary COMMA Meelick COMMA","2.430","7.095","0","5.715","3.300","0","0","0","0","2.002","3.865","0.229","1.000","0.800","0","1","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","1","0","0","0","8","9","4","4","5","7","5","0.143","TITLE","I-PER"
"COMMA","from Mary Reynolds Meelick COMMA Ballinlough","0","2.430","0","0","5.715","0","0","0","0","0.229","2.002","0","0","1.000","0.000","0","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","1","0","0","5","4","4","8","7","5","11","0.143","TITLE","O"
"Meelick","Mary Reynolds COMMA COMMA Ballinlough COMMA","0","0","0","0","0","0","0","0","0","0","0.229","0.229","0.000","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","1","1","0","0","0","7","4","8","5","5","11","5","0.143","TITLE","O"
"COMMA","Reynolds COMMA Meelick Ballinlough COMMA Co","0","0","0","0","0","0","0","0","0","0.229","0","0","0","0.000","0.800","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","1","0","0","5","8","5","7","11","5","2","0.143","TITLE","O"
"Ballinlough","COMMA Meelick COMMA COMMA Co .","0","0","0","0","0","0","0","0","0","0","0.229","0.229","0.800","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","1","1","0","0","0","11","5","7","5","5","2","1","0.143","TITLE","O"
"COMMA","Meelick COMMA Ballinlough Co . Roscommon","0","0","0.935","0","0","1.753","0","0","0","0.229","0","4.143","0","0.800","0.000","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","0","0","1","0","0","5","7","5","11","2","1","17","0.143","TITLE","O"
"Co","COMMA Ballinlough COMMA . Roscommon .","0.935","0","0","1.753","0","0","0","0","0","4.143","0.229","0","0.000","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","1","1","0","0","0","2","5","11","5","1","17","1","0.143","TITLE","O"
".","Ballinlough COMMA Co Roscommon . ]","0","0.935","0","0","1.753","0","0","0","0","0","4.143","0","0","0.000","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","0","0","1","0","0","1","11","5","2","17","1","1","0.143","TITLE","O"
"Roscommon","COMMA Co . . ] _","0","0","0","0.329","0","0","0","0","0","0.387","0","0","0.000","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","0","0","9","5","2","1","1","1","1","0.143","TITLE","I-LOC"
".","Co . Roscommon ] _ _","0","0","0","0","0.329","0","0","0","0","0","0.387","0","0","0.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","0","0","1","2","1","9","1","1","1","0.143","TITLE","O"
"]",". Roscommon . _ _ _","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","0","1","1","1","9","1","1","1","1","0.143","TITLE","O"
"Ireland","_ _ _ -- Folklore _","0.746","0","0","3.902","0","0","0","0","0","4.235","0","0","1.000","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","0","1","0","7","1","1","1","2","8","1","-1.386","SUBJECT","I-LOC"
"--","_ _ Ireland Folklore _ _","0","0.746","0","0","3.902","0","0","0","0","0","4.235","3.158","0","1.000","0.000","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","1","0","0","2","1","1","7","8","1","1","-1.386","SUBJECT","O"
"Folklore","_ Ireland -- _ _ _","0","0","0","0","0","0","0","0","0","3.158","0","0","0.000","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","0","1","8","1","7","2","1","1","1","-1.386","SUBJECT","O"
"Ireland","_ _ _ -- School children","0.746","0","0","3.902","0","0","0","0","0","4.235","0","0","1.000","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","0","1","0","7","1","1","1","2","6","8","-1.504","SUBJECT","I-LOC"
